T,m,chi,E,Cv,dm/dbeta,binder,dbinder/dbeta
0.770,9.94953052e-01,2.92381841e+01,-1.97985905e+00,1.90601956e-03,1.50455377e-01,6.66666197e-01,3.75678508e-06
0.771,9.94952415e-01,2.95961201e+01,-1.97985714e+00,1.92693485e-03,1.52498645e-01,6.66666191e-01,3.80758393e-06
0.772,9.94951770e-01,2.99574277e+01,-1.97985520e+00,1.94801800e-03,1.54564218e-01,6.66666184e-01,3.85893533e-06
0.773,9.94951118e-01,3.03221173e+01,-1.97985324e+00,1.96926943e-03,1.56652234e-01,6.66666178e-01,3.91081284e-06
0.774,9.94950459e-01,3.06902225e+01,-1.97985126e+00,1.99069030e-03,1.58762919e-01,6.66666171e-01,3.96326204e-06
0.775,9.94949793e-01,3.10617395e+01,-1.97984926e+00,2.01228057e-03,1.60896359e-01,6.66666164e-01,4.01620907e-06
0.776,9.94949119e-01,3.14367254e+01,-1.97984724e+00,2.03404214e-03,1.63052871e-01,6.66666158e-01,4.06977675e-06
0.777,9.94948439e-01,3.18152007e+01,-1.97984519e+00,2.05597576e-03,1.65232636e-01,6.66666151e-01,4.12397007e-06
0.778,9.94947751e-01,3.21971272e+01,-1.97984312e+00,2.07808027e-03,1.67435606e-01,6.66666144e-01,4.17860132e-06
0.779,9.94947056e-01,3.25825887e+01,-1.97984104e+00,2.10035843e-03,1.69662207e-01,6.66666137e-01,4.23388132e-06
0.780,9.94946353e-01,3.29715931e+01,-1.97983892e+00,2.12281056e-03,1.71912568e-01,6.66666130e-01,4.28977264e-06
0.781,9.94945643e-01,3.33641329e+01,-1.97983679e+00,2.14543651e-03,1.74186766e-01,6.66666123e-01,4.34618953e-06
0.782,9.94944925e-01,3.37602746e+01,-1.97983463e+00,2.16823845e-03,1.76485159e-01,6.66666116e-01,4.40328401e-06
0.783,9.94944200e-01,3.41599976e+01,-1.97983245e+00,2.19121580e-03,1.78807771e-01,6.66666109e-01,4.46092751e-06
0.784,9.94943467e-01,3.45633111e+01,-1.97983025e+00,2.21436894e-03,1.81154740e-01,6.66666101e-01,4.51908689e-06
0.785,9.94942726e-01,3.49702870e+01,-1.97982802e+00,2.23770020e-03,1.83526453e-01,6.66666094e-01,4.57793352e-06
0.786,9.94941978e-01,3.53809192e+01,-1.97982577e+00,2.26120946e-03,1.85922988e-01,6.66666086e-01,4.63738492e-06
0.787,9.94941221e-01,3.57952393e+01,-1.97982350e+00,2.28489778e-03,1.88344575e-01,6.66666079e-01,4.69748126e-06
0.788,9.94940457e-01,3.62132136e+01,-1.97982120e+00,2.30876417e-03,1.90791188e-01,6.66666071e-01,4.75804824e-06
0.789,9.94939685e-01,3.66349317e+01,-1.97981888e+00,2.33281151e-03,1.93263284e-01,6.66666064e-01,4.81931691e-06
0.790,9.94938905e-01,3.70603749e+01,-1.97981654e+00,2.35703930e-03,1.95760896e-01,6.66666056e-01,4.88116258e-06
0.791,9.94938117e-01,3.74896151e+01,-1.97981417e+00,2.38144983e-03,1.98284413e-01,6.66666048e-01,4.94375782e-06
0.792,9.94937320e-01,3.79226204e+01,-1.97981178e+00,2.40604217e-03,2.00833820e-01,6.66666040e-01,5.00693366e-06
0.793,9.94936516e-01,3.83594158e+01,-1.97980936e+00,2.43081718e-03,2.03409321e-01,6.66666032e-01,5.07070971e-06
0.794,9.94935703e-01,3.88000551e+01,-1.97980691e+00,2.45577659e-03,2.06011239e-01,6.66666024e-01,5.13519842e-06
0.795,9.94934882e-01,3.92445076e+01,-1.97980445e+00,2.48091950e-03,2.08639561e-01,6.66666016e-01,5.20023577e-06
0.796,9.94934053e-01,3.96928662e+01,-1.97980195e+00,2.50624887e-03,2.11294765e-01,6.66666007e-01,5.26606434e-06
0.797,9.94933215e-01,4.01450815e+01,-1.97979943e+00,2.53176321e-03,2.13976766e-01,6.66665999e-01,5.33245677e-06
0.798,9.94932368e-01,4.06011956e+01,-1.97979689e+00,2.55746389e-03,2.16685841e-01,6.66665991e-01,5.39948704e-06
0.799,9.94931513e-01,4.10612402e+01,-1.97979432e+00,2.58335195e-03,2.19422228e-01,6.66665982e-01,5.46719839e-06
0.800,9.94930650e-01,4.15252264e+01,-1.97979172e+00,2.60942780e-03,2.22186083e-01,6.66665973e-01,5.53556192e-06
0.801,9.94929777e-01,4.19931964e+01,-1.97978910e+00,2.63569278e-03,2.24977686e-01,6.66665965e-01,5.60465390e-06
0.802,9.94928896e-01,4.24651323e+01,-1.97978645e+00,2.66214640e-03,2.27797080e-01,6.66665956e-01,5.67435058e-06
0.803,9.94928007e-01,4.29411071e+01,-1.97978378e+00,2.68879096e-03,2.30644668e-01,6.66665947e-01,5.74483007e-06
0.804,9.94927108e-01,4.34210769e+01,-1.97978107e+00,2.71562516e-03,2.33520391e-01,6.66665938e-01,5.81588255e-06
0.805,9.94926200e-01,4.39051122e+01,-1.97977834e+00,2.74265123e-03,2.36424645e-01,6.66665929e-01,5.88767822e-06
